judul,artis,lirik
Cupid (Twin Version),FIFTY FIFTY (피프티피프티),"La, la, la, la-la-la
La, la-la-la, la, la-la-la
A hopeless romantic all my life
Surrounded by couples all the time
I guess I should take it as a sign
(Oh, why, oh, why, oh, why, oh, why?)
I'm feelin' lonely (Lonely)
Oh, I wish I'd find a lover that could hold me (Hold me)
Now I'm crying in my room
So skeptical of love (Say what you say, but I want it more)
But still, I want it more, more, more
I gave a second chance to Cupid
But now I'm left here feelin' stupid
Oh, the way he makes me feel that love isn't real
Cupid is so dumb
I look for his arrows every day
I guess he got lost or flew away
Waiting around is a waste (Waste)
Been counting the days since November
Is loving as good as they say?
Now I'm so lonely (Lonely)
Oh, I wish I'd find a lover that could hold me (Hold me)
Now I'm crying in my room
So skeptical of love (Say what you say, but I want it more)
But still, I want it more, more, more
I gave a second chance to Cupid
But now I'm left here feelin' stupid
Oh, the way he makes me feel that love isn't real
Cupid is so dumb
(Cupid is so dumb)
Hopeless girl is seeking
Someone who will share this feeling
I'm a fool
A fool for love, a fool for love
I gave a second chance to Cupid
But now I'm left here feelin' stupid
Oh, the way he makes me feel that love isn't real
Cupid is so dumb
I gave a second chance to Cupid (Hopeless girl is seeking someone)
But now I'm left here feelin' stupid (Who will share this feeling)
Oh, the way he makes me feel that love isn't real (I'm a fool)
Cupid is so dumb (A fool for love, a fool for love)"
Tampar,Juicy Luicy,"Entah sudah selasa yang ke berapa
Masih saja kau ada lekat di kepala
Hari ini janji esok mesti lupa
Tetapi hati tak tepati
Tampar aku di pipi
Biar sadar dan ku mengerti
Hujan samarkan derasnya
Tutup air mata
Temani kecewaku yang telah lama
Berdosa kah ku berdoa
Minta kau terluka
Dan tinggalkan dirinya
Hari ini janji esok mesti lupa
Tetapi hati tak tepati
Tampar aku di pipi
Biar sadar dan ku mengerti
Hujan samarkan derasnya
Tutup air mata
Temani kecewaku yang telah lama
Berdosa kah ku berdoa
Minta kau terluka
Dan tinggalkan dirinya
Ho
Bukan ku tak berupaya
Berusaha
Hujan samarkan derasnya
Tutup air mata
Temani kecewaku yang telah lama
Berdosa kah ku berdoa
Minta kau terluka
Dan tinggalkan dirinya
Hujan samarkan derasnya
Tutup air mata
Tiga tahun tak terasa
Masih kau yang ada
Bodoh yang sebenarnya
Tampar aku di pipi
Sadarkan kau aku takkan terjadi"
Yang Terdalam,Perterpan,"Kulepas semua yang kuinginkan
Tak akan kuulangi
Maafkan jika kau kusayangi
Dan bila ku menanti
Pernahkah engkau coba mengerti
Lihatlah ku di sini
Mungkinkah jika aku bermimpi
Salahkah 'tuk menanti
Takkan lelah aku menanti
Takkan hilang cintaku ini
Hingga saat kau tak kembali
Kan kukenang di hati saja
Kau telah tinggalkan
Hati yang terdalam
Hingga tiada cinta yang tersisa
Di jiwa"
Amazing,Rex Orange County,"There's no way to time it
And where you may find it
Is unknown
Until then, you're a loner
So you see her (See her)
She's over (Over)
In the corner (Corner)
And you can't (You can't)
Ignore her (Ignore her)
There must be a reason
You see it, believe it now
Search the definition of ""shame""
I'm sure you'll see my face
Who's gonna save me now?
I hope it's you, my babe
Don't change a thing, you are amazing
I can't believe you've come and saved me
We can stay here, spend every day here
I don't mind, no
Don't change a thing, you are amazing
I can't believe you've come and saved me
We can stay here, spend every day here
I don't mind
I see her
She's over in the corner
And I can't ignore her
I hope there's a reason
To see it, I see it (Now, oh)
Search the definition of ""afraid""
And I'm sure you'll see my face
Who's gonna save me now?
I hope it's you, my babe
Don't change a thing, you are amazing
I can't believe you've come and saved me
We can stay here, spend every day here
I wouldn't mind
Don't change a thing, you are amazing
I can't believe you've come and saved me
We can stay here, spend every day here
Oh, I don't mind, that's alright
Yeah"
Until I Found You,Stephen Sanchez,"Georgia
Wrap me up in all your—
I want ya
In my arms, oh, let me
Hold ya
I'll never let you go again
Like I did
Oh, I used to say
""I would never fall in love again until I found her""
I said, ""I would never fall, unless it's you I fall into""
I was lost within the darkness, but then I found her
I found you
Georgia
Pulled me in, I asked to
Love her
Once again, you fell, I
Caught ya
I'll never let you go again
Like I did
Oh, I used to say
""I would never fall in love again until I found her""
I said, ""I would never fall unless it's you I fall into""
I was lost within the darkness, but then I found her
I found you
""I would never fall in love again until I found her""
I said, ""I would never fall unless it's you I fall into""
I was lost within the darkness, but then I found her
I found you"
Mesin Waktu,Budi Doremi,"Kalau harus ku mengingatmu lagi
Aku takkan sanggup dengan yang terjadi pada kita
Jika melupakanmu hal yang mudah
Ini takkan berat, takkan membuat hatiku lelah
Kalah, kuakui aku kalah
Cinta ini pahit dan tak harus memiliki
Jika aku bisa, ku akan kembali
Ku akan merubah takdir cinta yang kupilih
Meskipun tak mungkin, walaupun ku mau
Membawa kamu lewat mesin waktu
Jika melupakanmu hal yang mudah
Ini takkan berat, takkan membuat hatiku lelah
Panjang perjalanan yang harus kulalui
Merelakanmu
Jika aku bisa, ku akan kembali
Ku akan merubah takdir cinta yang kupilih
Meskipun tak mungkin, walaupun ku mau
Membawa kamu lewat mesin waktu, ho-uh-oh
Wo-uh-oh
Jika aku bisa, ku akan kembali
Ku akan merubah takdir cinta yang kupilih
Meskipun tak mungkin, walaupun ku mau
Membawa kamu, oh-oh
Jika aku bisa, ku akan kembali
Ku akan merubah takdir cinta yang kupilih
Meskipun tak mungkin, walaupun ku mau
Membawa kamu lewat mesin waktu"
Every Summertime,NIKI,"Eighteen, we were undergrads
Stayed out late, never made it to class, uh
Outer Richmond in a taxi cab
You were sweatin' bullets on the way to my Dad's
And oh, you said, ""Baby, think we're movin' too fast!""
And I swear the magnolias flashed a smile (Flashed a smile)
And that's when I caught me hopin' you'd stay a while (Stay a while)
Baby, I'd give up anything to travel inside your mind
Baby, I fall in love again come every summertime
My daddy taught me to choose 'em wisely but you don't have to try
'Cause, baby, I fall in lovе every summertimе
Twenty-five, man we're missin' church
Laugh 'bout everyone we're hatin' at work
Dinner with your sister and the jokes kinda hurt
Cry the way home and you're puttin' me first, oh
Yeah, you just always know what to say
We're strolling down the boulevard, and dancing under streetlights (Oh, the lights)
Every year we get older and I'm still on your side (Oh, I)
Baby, I'd give up anything to travel inside your mind
Baby, I fall in love again come every summertime
My daddy taught me to choose 'em wisely but you don't have to try
'Cause, baby, I fall in love every summertime
Every day is summertime
Every day is summertime
Every day is summertime with you
Every day is summertime
Every day is summertime
Every day is summertime with you"
Pelukku untuk Pelikmu,Fiersa Besari,"Sandarkan lelahmu, dan ceritakan
Tentang apa pun, aku mendengarkan
Jangan pernah kau merasa sendiri
Tengoklah aku yang tak pernah pergi
Bagiku, kau tetap yang terbaik
Entah beratmu turun atau naik
Kadang kala tak mengapa
Untuk tak baik-baik saja
Kita hanyalah manusia
Wajar jika tak sempurna
Saat kau merasa gundah
Lihat hatimu, percayalah
Segala sesuatu yang pelik
Bisa diringankan dengan peluk
Kau berkata dunia sedang tak ramah
Ya, bukan berarti kau mesti berubah
Jadi seseorang yang tak kau ingin
Yang menatapmu asing dari cermin, oh-oh
Bagiku, kau tetap yang terbaik
Entah beratmu turun atau naik
Kadang kala tak mengapa
Untuk tak baik-baik saja
Kita hanyalah manusia
Wajar jika tak sempurna
Saat kau merasa gundah
Lihat hatimu, percayalah
Segala sesuatu yang pelik
Bisa diringankan dengan peluk
Uh-uh, kita perlu kecewa
Untuk tahu bahagia
Bukankah luka menjadikan
Kita saling menguatkan?
Kadang kala tak mengapa
Untuk tak baik-baik saja
Kita hanyalah manusia
Wajar jika tak sempurna
Saat kau merasa gundah
Lihat hatimu, percayalah
Segala sesuatu yang pelik
Bisa diringankan dengan peluk
Segala sesuatu yang pelik
Bisa diringankan dengan peluk"
Sempurna,Andra And The Backbone,"Kau begitu sempurna
Di mataku kau begitu indah
Kau membuat diriku
Akan selalu memujamu
Di setiap langkahku
Ku 'kan selalu memikirkan dirimu
Tak bisa ku bayangkan
Hidupku tanpa cintamu
Janganlah kau tinggalkan diriku
Takkan mampu menghadapi semua
Hanya bersamamu ku akan bisa
Kau adalah darahku
Kau adalah jantungku
Kau adalah hidupku, lengkapi diriku
Oh sayangku kau begitu sempurna
Sempurna
Kau genggam tanganku
Saat diriku lemah dan terjatuh
Kau bisikkan kata
Dan hapus semua sesalku
Janganlah kau tinggalkan diriku
Takkan mampu menghadapi semua
Hanya bersamamu ku akan bisa
Kau adalah darahku
Kau adalah jantungku
Kau adalah hidupku, lengkapi diriku
Oh sayangku kau begitu sempurna
Sempurna
Janganlah kau tinggalkan diriku
Takkan mampu menghadapi semua
Hanya bersamamu ku akan bisa
Kau adalah darahku
Kau adalah jantungku
Kau adalah hidupku, lengkapi diriku
Oh sayangku kau begitu
Kau adalah darahku
Kau adalah jantungku
Kau adalah hidupku, lengkapi diriku
Oh sayangku kau begitu
Sayangku kau begitu sempurna
Sempurna"
Seluruh Nafas Ini,Last Child,"Lihatlah luka ini
Yang sakitnya abadi
Yang terbalut hangatnya bekas pelukmu
Aku tak akan lupa
Tak akan pernah bisa
Tentang apa yang harus memisahkan kita
Di saat ku tertatih
Tanpa kau di sini
Kau tetap kunanti
Demi keyakinan ini
Jika memang dirimu lah tulang rusukku
Kau akan kembali pada tubuh ini
Ku akan tua dan mati, dalam pelukmu
Untukmu seluruh nafas ini
Kita telah lewati, rasa yang pernah mati
Bukan hal baru bila kau tinggalkan aku
Tanpa kita mencari, jalan untuk kembali
Takdir cinta yang menuntunmu kembali padaku
Disaat ku tertatih (Saat ku tertatih)
Tanpa kau disini (Tanpa kau di sini)
Kau tetap kunanti
Demi keyakinan ini
Jika memang kau terlahir, hanya untukku
Bawalah hatiku dan lekas kembali
Kunikmati rindu yang datang membunuhku
Untukmu seluruh nafas ini
Dan ini yang terakhir (Aku menyakitimu)
Ini yang terakhir (Aku meninggalkanmu)
Takkan ku sia-siakan (Woo)
Hidupmu lagi
Ini yang terakhir (Yeee)
Dan ini yang terakhir
Takkan ku sia-siakan
Hidupmu lagi
Wowoowooo..
Jika memang dirimulah tulang rusukku
(Terlahir untukku)
Kau akan kembali pada tubuh ini
(Bawa hatiku kembali)
Ku akan tua dan mati, dalam pelukmu
Untukmu seluruh nafas ini
Jika memang kau terlahir, hanya untukku
Bawalah hatiku dan lekas kembali
Kunikmati rindu yang datang membunuhku
Untukmu seluruh nafas ini
Untukmu seluruh nafas ini
Untukmu seluruh nafas ini"
Putus atau Terus,Judika,"Aku sedang bertanya-tanya
Tentang perasaan kita
Benarkah kita saling mencinta
Atau hanya pernah saling cinta
Bukankah kamu juga merasa
Dingin mulai menjalari percakapan kita
Pertanyaan kamu sedang apa
Terkesan hanya sebuah formalitas saja
Coba tanyakan lagi pada hatimu
Apakah sebaiknya kita putus atau terus
Kita sedang mempertahankan hubungan
Atau hanya sekedar menunda perpisahan
Bukankah kamu juga merasa
Dingin mulai menjalari percakapan kita
Pertanyaan kamu sedang apa
Terkesan hanya sebuah formalitas saja
Coba tanyakan lagi pada hatimu
Apakah sebaiknya kita putus atau terus
Kita sedang mempertahankan hubungan
Atau hanya sekedar menunda perpisahan, wo-oo
Bila kamu tanya, aku maunya apa
Aku mau kita t'rus bersama
Coba tanyakan lagi pada hatimu
Kita sеdang mempertahankan hubungan
Atau hanya sekеdar, oh-wo-wo
Hanya sekedar menunda perpisahan"
Sayap Pelindungmu,The Overtunes,"Saat kau jatuh
Lukai hati
Di mana pun itu
I'll find you
Saat kau lemah
Dan tak berdaya
Lihat diriku
Untukmu
Kapan pun mimpi terasa jauh
Oh ingatlah sesuatu
'Ku akan selalu
Jadi sayap pelindungmu
Saat duniamu mulai pudar
Dan kau merasa hilang
'Ku akan selalu
Jadi sayap pelindungmu
Saat kau takut
Dan tersesat
Di mana pun itu
I'll find you
Air matamu
Takkan terjatuh
Lihat diriku
Untukmu
Kapanpun mimpi terasa jauh
Oh ingatlah sesuatu
'Ku akan selalu
Jadi sayap pelindungmu
Saat duniamu mulai pudar
Dan kau merasa hilang
'Ku akan selalu
Jadi sayap pelindungmu
Walau kau tak sanggup
Ku takkan menyerah
'Ku ada untukmu
Kapanpun mimpi terasa jauh
Oh ingatlah sesuatu
'Ku akan selalu
Jadi sayap pelindungmu
Saat duniamu mulai pudar
Dan kau merasa hilang
'Ku akan selalu
Jadi sayap pelindungmu"
Bawa Dia Kembali,Mahalini,"Malam ini aku menanti
Kedatanganmu mengisi sepiku
Lama terasa waktu bergulir
Karena dirimu tak bersamaku
Oh Tuhan tolonglah bawa dia kembali
Bersamaku di sini menjagaku selalu
Dengarlah doaku yang tak pernah meminta
Bawa dia kembali bersama walau hanya sesaat
Masih terasa hembus napasmu
Saat ku gundah kau lipur laraku
Kini terasa semakin dalam
Rasa rinduku pada dirimu
Oh Tuhan tolonglah bawa dia kembali
Bersamaku di sini menjagaku selalu
Dengarlah doaku yang tak pernah meminta
Bawa dia kembali bersama walau hanya sesaat
Oh Tuhan tolonglah bawa dia kembali
Bersamaku di sini menjagaku selalu
Dengarlah doaku yang tak pernah meminta
Bawa dia kembali bersama walau hanya sesaat
Oh Tuhan tolonglah bawa dia kembali
Bersamaku di sini menjagaku selalu
Dengarlah doaku yang tak pernah meminta
Bawa dia kembali bersama walau hanya sesaat
Walau hanya sesaat
Walau hanya sesaat"
Rewrite the Stars,James Arthur & Anne-Marie,"You know I want you
It's not a secret I try to hide
You know you want me
So don’t keep sayin' our hands are tied
You claim it's not in the cards
And fate is pullin’ you miles away and out of reach from me
But you're here in my heart
So who can stop me if I decide that you're my destiny?
What if we rewrite the stars?
Say you were made to be mine
Nothin' could keep us apart
You'd be the one I was meant to find
It's up to you and it's up to me
No one can say what we get to be
So why don't we rewrite the stars?
Maybe the world could be ours tonight
Ah-oh (No, no, no, no)
Ah-oh (Mm)
You think it’s easy
You think I don’t wanna run to you, yeah
But there are mountains (There are mountains)
And there are doors that we can't walk through
I know you’re wonderin' why
Because we're able to be just you and me within these walls
But when we go outside
You're gonna wake up and see that it was hopeless after all
No one can rewrite the stars
How can you say you’ll be mine?
Everything keeps us apart
And I'm not the one you were meant to find (The one you were meant to find)
It's not up to you, it's not up to me (Yeah)
When everyone tells us what we can be
And how can we rewrite the stars?
Say that the world can be ours tonight
All I want is to fly with you
All I want is to fall with you
So just give me all of you
It feels impossible
It's not impossible
Is it impossible?
Say that it's possible
How do we rewrite the stars?
Say you were made to be mine
And nothin' could keep us apart
'Cause you are the one I was meant to find
It's up to you and it's up to me
No one could say what we get to be
And why don't we rewrite the stars?
Changin' the world to be ours
Ah-oh (No, no, no, no)
Ah-oh (Mm)
You know I want you
It's not a secret I try to hide
But I can't have you
We're bound to break and my hands are tied"
Scars to Your Beautiful,Alessia Cara,"She just wants to be beautiful
She goes unnoticed, she knows no limits
She craves attention, she praises an image
She prays to be sculpted by the sculptor
Oh, she don't see the light that's shinin'
Deeper than the eyes can find it
Maybe we have made her blind
So she tries to cover up her pain
And cut her woes away
'Cause covergirls don't cry
After their face is made
And there's a hope that's waiting for you in the dark
You should know you're beautiful just the way you are
And you don't have to change a thing, the world could change its heart
No scars to your beautiful, we're stars and we're beautiful
Oh, oh, oh
Oh-oh, oh, oh
And you don't have to change a thing
The world could change its heart
No scars to your beautiful, we're stars and we're beautiful
She has dreams to be an envy, so she's
Starving, you know, covergirls eat nothing
She says, ""Beauty is pain and there's beauty in everything, what's a little bit of hunger?""
""I can go a little while longer,"" she fades away
She don't see her perfect, she don't understand she's worth it
Or that beauty goes deeper than the surface, oh, oh
So to all the girls that's hurting, let me be your mirror
Help you see a little bit clearer the light that shines within
And there's a hope that's waiting for you in the dark
You should know you're beautiful just the way you are
And you don't have to change a thing, the world could change its heart
No scars to your beautiful, we're stars and we're beautiful
Oh, oh, oh
Oh-oh, oh, oh
And you don't have to change a thing
The world could change its heart
No scars to your beautiful, we're stars and we're beautiful
No better you than the you that you are
No better you than the you that you are
No better life than the life we're livin'
No better life than the life we're livin'
No better time for your shine, you're a star
No better time for your shine, you're a star
Oh, you're beautiful, oh, you're beautiful
There's a hope that's waiting for you in the dark
You should know you're beautiful just the way you are
And you don't have to change a thing, the world could change its heart
No scars to your beautiful, we're stars and we're beautiful
Oh, oh, oh
Oh-oh, oh, oh
And you don't have to change a thing
The world could change its heart
No scars to your beautiful, we're stars and we're beautiful"
